Deciles,,,,,
Histogram,,,,,
Grid Size,250,250,500,1000,5000
D0,0.01,0.01,0.01,0.01,0.01
D1,0.010277542690587817,0.010277542690587817,0.010275048563615104,0.010392537903133707,0.010339812669529037
D2,3.8737959857853124,3.8737959857853124,3.83907412816842,3.9964167122714356,3.9468104830088797
D3,15.424848991920102,15.424848991920102,16.323594493786942,16.250238453447214,16.403984476831276
D4,39.90385039644191,39.90385039644191,37.47106933410363,38.324276848188184,38.59972248961418
D5,72.76615108145242,72.76615108145242,72.11233066031807,71.78811385582897,71.53002262056297
D6,123.62070037366874,123.62070037366874,117.48778626264918,119.43894130629108,119.50846191894512
D7,184.13730657273828,184.13730657273828,189.54528856968398,192.28688031660968,191.59551389740182
D8,304.96226112606115,304.96226112606115,312.66194798239763,311.25607088295,311.1876123128735
D9,575.377481906356,575.377481906356,570.2069636239106,567.6430043762344,565.6019768901754
-,-,-,-,-,-
Total Time,534.684077291,492.233166708,907.410689958,1877.484812875,8910.519173667
Model Time,520.230974875,478.757064667,881.36988525,1827.001376333,8666.283808292
Moment Time,14.453102416,13.476102041,26.040804708,50.483436542,244.235365375
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
Simulation,,,,,
Grid Size,250k,500k,750k,1M,10M
D0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.009999999776482582
D1,0.010423373337835072,0.01032992722466588,0.010299154091626406,0.010329782869666815,0.010345756076276302
D2,4.087224102020263,3.9681420326232915,3.9549689292907715,3.943972253799438,3.9466107368469245
D3,16.707237052917485,16.37123565673828,16.437810707092286,16.336491203308107,16.33573341369629
D4,39.4393684387207,38.53558807373047,38.590117645263675,38.41936950683593,38.44479522705078
D5,72.41188049316406,70.98568725585938,71.59122848510742,71.4957160949707,71.33634185791016
D6,120.24003448486329,118.63699951171874,119.38501129150394,119.16808319091797,119.2315368652344
D7,193.23323974609383,191.34643096923827,191.76960144042965,191.90709381103522,191.79271850585937
D8,314.4873474121094,310.6245239257813,310.9166625976563,311.56562499999995,311.3729858398438
D9,578.5234924316406,566.1249145507813,564.8267883300776,564.2568725585936,565.3867919921875
-,-,-,-,-,-
Total Time,1015.391815084,1561.4121492499999,2258.679481417,3617.610556709,28311.295487250998
Model Time,[871.766815334;;],[871.766815334;;],[871.766815334;;],[871.766815334;;],[871.766815334;;]
Simul Time,143.145769041,689.254926833,1386.084162416,2744.259412167,27424.3765545
Moment Time,0.479230709,0.390407083,0.828503667,1.584329208,15.152117417
-,-,-,-,-,-
