Decile Transition,,,,,
Histogram,,,,,
Grid Size,250,250,500,1000,5000
D1-D1,50.62409971721264,50.624099717209326,50.15844789975773,50.34800454922937,50.03590416663961
D1-D2,30.566268249955264,30.566268249958096,30.490269769313272,30.47963966890015,30.52736803628362
D2-D1,33.97300688604707,33.973006886047,34.17449872178661,34.13026593108143,34.15937883398615
D2-D2,30.244781229717994,30.24478122971924,30.062907398377614,30.11905058340844,30.090912877435915
D10-D10,77.30096267059908,77.30096267059908,77.55044306631689,77.65447268516692,77.73765657332837
-,-,-,-,-,-
Total Time,534.684077291,492.233166708,907.410689958,1877.484812875,8910.519173667
Model Time,520.230974875,478.757064667,881.36988525,1827.001376333,8666.283808292
Moment Time,14.453102416,13.476102041,26.040804708,50.483436542,244.235365375
-,-,-,-,-,-
-,-,-,-,-,-
-,-,-,-,-,-
Simulation,,,,,
Grid Size,250k,500k,750k,1M,10M
D1-D1,50.8930363234999,50.20648030495553,49.974856683093634,50.08612056879632,50.0607322054638
D1-D2,30.563917318884208,30.1103875476493,30.664789299004326,30.33046264770679,30.52785533838585
D2-D1,34.32595573440644,34.06041616453764,34.39442381396827,34.09931431541491,34.095090258130746
D2-D2,30.16096579476861,30.17192897887041,29.8250491490756,30.244087719648963,30.163290854009663
D10-D10,79.03648457972183,77.7701943150795,77.69520451904972,77.54875820126426,77.72539699513982
-,-,-,-,-,-
Total Time,1015.391815084,1561.4121492499999,2258.679481417,3617.610556709,28311.295487250998
Model Time,[871.766815334;;],[871.766815334;;],[871.766815334;;],[871.766815334;;],[871.766815334;;]
Simul Time,143.145769041,689.254926833,1386.084162416,2744.259412167,27424.3765545
Moment Time,0.479230709,0.390407083,0.828503667,1.584329208,15.152117417
-,-,-,-,-,-
