Consumption Autocorrelation,,,,
Histogram,,,,
Grid Size,250,500,750,1000
Cons Auto-Corr,0.7793642262036571,0.7816857960732594,0.7791761297239839,0.7804511409077679
-,-,-,-,-
Total Time,807.8267237499999,1463.985984416,2264.1282111250002,3070.497850459
Model Time,799.254321875,1444.158371125,2235.692962333,3027.106633668
Moment Time,8.572401875,19.827613291,28.435248792,43.391216791
-,-,-,-,-
-,-,-,-,-
-,-,-,-,-
Simulation,,,,
Grid Size,250k,500k,750k,1M
Cons Auto-Corr,0.8301432728767395,0.829275369644165,0.8295627236366272,0.8291338086128235
-,-,-,-,-
Total Time,2123.977669,2748.9897057509997,3831.425910251,4044.328332584
Model Time,1490.859349875,1490.859349875,1490.859349875,1490.859349875
Simul Time,633.0690265,1258.093106292,2340.519347542,2553.394862125
Moment Time,0.049292625,0.037249584,0.047212834,0.074120584
-,-,-,-,-
